phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,0,16.6661,16.6700,2.1146,16702,498,816811452252,2.9524,1.1165,13.7036,16652500,84300,661200,0,1200,0
walking,0,16.6679,16.6662,1.9855,10310,498,816811618952,2.4081,0.8653,14.2434,16657800,80200,264900,0,1000,0
walking,0,16.6681,16.6653,2.3224,10310,497,816811785614,2.5059,1.5573,14.1458,16653700,84700,246100,0,1500,0
walking,0,16.6672,16.6658,2.0040,10234,496,816811952267,2.5345,1.0637,14.1181,16653200,75500,301600,0,1500,0
walking,0,16.6666,16.6712,2.0388,10234,498,816812118925,2.1514,0.8686,14.5064,16649100,80200,265700,0,1600,0
walking,0,16.6665,16.6680,2.4740,16626,496,816812285637,2.0545,1.4358,14.5993,16651700,75700,777900,0,1500,0
walking,0,16.6674,16.6685,1.9968,10234,499,816812452317,2.2425,1.1174,14.4107,16652800,76100,336800,0,1700,0
walking,0,16.6676,16.6645,2.3624,10234,490,816812619002,2.6388,1.0506,14.0105,16651700,75700,335700,0,1400,0
walking,0,16.6647,16.6666,2.0716,10234,491,816812785647,3.4262,0.9825,13.2256,16646300,79900,272700,0,1600,0
walking,0,16.6675,16.6688,2.1135,10234,490,816812952313,2.5440,1.0350,14.1089,16656100,81400,266300,0,1400,0
walking,0,16.6790,16.6665,2.3327,16626,491,816813119001,2.4140,1.0135,14.2379,16667800,76700,555400,0,1300,0
walking,0,16.6660,16.6607,2.0224,10234,490,816813285666,2.2492,0.9715,14.3972,16654100,72800,595600,0,1400,0
walking,0,16.6580,16.6696,2.8109,10258,488,816813452273,2.7748,1.3495,13.8815,16640400,69600,246400,0,1100,0
walking,0,16.6662,16.6818,1.9456,10234,491,816813618969,2.8375,1.0555,13.8304,16652000,69900,220000,0,1300,0
walking,0,16.6692,16.6673,1.9579,10234,481,816813785787,2.5460,0.8408,14.1082,16658200,74900,274200,0,1600,0
walking,0,16.6680,16.6545,2.2979,16626,473,816813952460,2.1521,0.8815,14.4885,16652500,76100,661500,0,1500,0
walking,0,16.6671,16.6658,2.4095,10234,469,816814119005,2.2494,1.0969,14.4028,16647800,78600,327500,0,1500,0
walking,0,16.6646,16.6721,2.2559,10234,473,816814285663,2.3737,1.0325,14.2846,17270100,77900,253300,0,1800,0
walking,0,16.6684,16.6732,1.9364,10234,473,816814452384,2.4666,1.0086,14.1861,16968900,77600,268300,0,1500,0
walking,0,16.6662,16.6645,1.9333,10282,473,816814619116,2.4436,1.0282,14.2044,15906000,74600,263200,0,1300,0
walking,0,16.6693,17.2861,2.1012,16626,348,816814785761,3.5432,1.0706,13.7271,16759600,69800,464100,0,1000,0
walking,0,16.6655,16.9821,2.3173,10234,341,816814958622,3.4036,1.3808,13.5654,16636500,88600,258200,0,1500,0
walking,0,16.6679,15.9167,2.5313,10234,343,816815128443,2.1610,0.9591,13.7451,16879800,71900,255000,0,1200,0
walking,0,16.6688,16.7714,2.2569,10234,339,816815287610,2.2387,1.0768,14.5211,16456300,74000,308100,0,1200,0
walking,0,16.6682,16.6498,2.3060,10234,335,816815455324,2.7772,1.0786,13.8595,16660300,74300,247500,0,1200,0
walking,0,16.6658,16.8924,2.3378,28610,335,816815621822,2.6758,0.9271,14.2042,16338200,83700,595400,0,1900,0
walking,0,16.6661,16.4713,2.2671,10234,310,816815790746,2.7700,1.1253,13.6865,16649500,84200,281800,0,1600,0
walking,0,16.6771,16.6771,2.4689,10234,309,816815955459,2.4230,1.1550,14.2375,16664800,76600,249400,0,1300,0
walking,0,16.8542,16.3537,2.3767,10234,308,816816122230,2.9823,1.0816,13.3560,16835500,76500,251400,0,1600,0
walking,0,16.6685,16.6635,2.4596,10234,310,816816285767,2.3009,0.9541,14.3488,16654500,79100,246200,0,1400,0
walking,0,16.7163,16.6818,2.3122,16626,307,816816452402,2.2164,1.0801,14.4486,16700500,78200,518200,0,1700,0
walking,0,16.6664,16.8534,2.3183,10234,307,816816619220,2.2651,0.9073,14.5706,240430100,75400,243800,0,1400,0
walking,0,225.8910,16.6690,0.0000,10234,307,816816787754,2.3040,1.4920,14.3506,2303400,87500,212100,0,1600,0
walking,0,16.6865,16.7152,2.3685,16626,307,816816954444,2.5360,0.8276,14.1646,16468400,102800,961500,0,1500,0
walking,0,16.6638,240.4473,0.0000,20590,268,816817121596,225.8923,1.5389,14.5381,16643900,84700,277000,0,2200,0
walking,0,16.6669,2.3187,2.1596,10258,350,816819526069,2.2958,1.5308,0.0078,16659300,73700,303600,0,1400,0
walking,0,16.6648,16.4804,1.8811,10234,350,816819549256,3.0301,16.4804,13.4385,16644600,175100,243900,0,1100,0
walking,0,16.6673,16.6606,2.2211,16626,345,816819714060,2.4903,0.6525,14.1538,16654400,72200,489300,0,1200,0
walking,0,16.9269,16.6706,1.9128,10234,241,816819880666,1.9266,0.7933,14.7326,16917700,69400,324000,0,1200,0
walking,0,16.6656,16.6566,2.0961,10234,241,816820047372,2.0940,0.9537,14.5508,16651700,69400,224900,0,1200,0
walking,0,16.6803,16.6673,1.8975,10234,240,816820213938,1.7201,1.2376,14.9344,16685500,76500,239300,0,1300,0
walking,0,16.6563,16.9313,2.9153,10234,239,816820380611,1.7024,0.6664,15.2155,16606800,198300,351200,0,1800,0
walking,0,16.6658,16.6647,2.1504,16626,240,816820549924,1.7205,0.9351,14.9314,16647800,76100,767600,0,1500,0
walking,0,16.6675,16.7144,1.8104,10234,240,816820716571,1.7342,1.3578,14.9517,16663200,78800,253900,0,1500,0
walking,0,16.6668,16.6254,2.1330,10234,240,816820883715,2.6419,1.0730,13.9650,16650800,71900,233800,0,1100,0
walking,0,16.6669,16.6636,1.7900,10234,238,816821049969,2.3240,0.7812,14.3239,16642100,71000,292300,0,1500,0
walking,0,16.6660,16.6781,1.7900,10234,238,816821216605,1.8551,0.6970,14.8083,16651800,78500,266400,0,1500,0
walking,0,16.6653,16.6656,2.1043,16626,237,816821383386,1.7113,1.1331,14.9397,16648100,73700,643300,0,1200,0
walking,0,16.6669,16.6573,1.6998,10234,234,816821550042,1.8645,0.8720,14.7778,16654600,72000,341600,0,1200,0
walking,0,16.6673,16.6658,1.6753,10234,234,816821716615,1.6502,0.8318,15.0017,16654400,70400,237300,0,1300,0
